id;street_address;postal_code;city;state_province
1;likable;whereas badly;Hagenestown;doubtfully
2;geez;naughty;Fort Vanessatown;mechanically for
3;cruelly;once reluctantly certainly;Hoffman Estates;equate
4;within;rebound barring whoa;New Billie;hefty discourse
5;mosh;jogging;Fort Justusbury;great onto than
6;physically blah enfold;vista;Sharonboro;surface
7;buzzing qua;t-shirt perfumed;Hassiechester;simplistic hygienic
8;now woot;of platypus outrank;West Elisabeth;fray lest interesting
9;futon until overproduce;humiliating gadzooks;East Benfurt;nudge while
10;glittering;who bourgeoisie;South Tyreekside;mid successfully until
