id;code;longitude;latitude;from_date;to_date;state
1;license vicinity mixture;5464.4;26248.48;2024-11-10;2024-11-10;RETURNED
2;fully phooey search;11611.23;31222.04;2024-11-10;2024-11-10;RETURNED
3;frenetically whereas;23443.54;24673.81;2024-11-10;2024-11-11;RESERVED
4;soft brightly;21584.16;12902.73;2024-11-10;2024-11-11;RESERVED
5;yowza subtle far;30107.42;12595.57;2024-11-10;2024-11-10;RESERVED
6;cruel anneal;29856.17;2212.32;2024-11-11;2024-11-11;RESERVED
7;jealous equally willow;9019.25;22310.09;2024-11-11;2024-11-10;RESERVED
8;phew zowie afford;24579.81;723.91;2024-11-10;2024-11-11;RESERVED
9;outside place kit;8814.51;7900.03;2024-11-10;2024-11-10;RESERVED
10;righteously tune-up;19296.54;27114.27;2024-11-10;2024-11-11;RESERVED
